,DOI,Year,Journal,Membrane,MWCO,Solvent,solvent_name,measured_rejection2,solvent_smiles,Temperature,Process configuration,solute_smiles,full_smiles,dm300
10,10.1016/j.memsci.2018.12.077,2019.0,Journal of Membrane Science,DM300,300.0,EtOH,Ethanol,1.0,CCO,25.0,CF,CC(C1=CC=CC=C1)CC(C2=CC=CC=C2)CC(C3=CC=CC=C3)CC(C4=CC=CC=C4)CC(C5=CC=CC=C5)CC(C6=CC=CC=C6)CC(C7=CC=CC=C7)CC(C8=CC=CC=C8)CC(C9=CC=CC=C9)CC(C%10=CC=CC=C%10)CC(C%11=CC=CC=C%11)CC(C%12=CC=CC=C%12)CC(C%13=CC=CC=C%13)CC(C%14=CC=CC=C%14)CC(CC(C(C)(C)C(C%15=CC=CC=C%15)(C)C)C%16=CC=CC=C%16)C%17=CC=CC=C%17,CC(C1=CC=CC=C1)CC(C2=CC=CC=C2)CC(C3=CC=CC=C3)CC(C4=CC=CC=C4)CC(C5=CC=CC=C5)CC(C6=CC=CC=C6)CC(C7=CC=CC=C7)CC(C8=CC=CC=C8)CC(C9=CC=CC=C9)CC(C%10=CC=CC=C%10)CC(C%11=CC=CC=C%11)CC(C%12=CC=CC=C%12)CC(C%13=CC=CC=C%13)CC(C%14=CC=CC=C%14)CC(CC(C(C)(C)C(C%15=CC=CC=C%15)(C)C)C%16=CC=CC=C%16)C%17=CC=CC=C%17.CCO,0.9235624947174512
11,10.1021/acssuschemeng.5b00734,2015.0,ASCECG,DM300,300.0,EtOH,Ethanol,0.9,CCO,23.0,CF,OCC[P](CCCC)(CCCC)CCCC.[I],OCC[P](CCCC)(CCCC)CCCC.[I].CCO,0.8305792417579025
12,10.1016/j.memsci.2018.12.077,2019.0,Journal of Membrane Science,DM300,300.0,EtOH,Ethanol,0.95,CCO,25.0,CF,CC(C(C)(C)C(C1=CC=CC=C1)(C)C)C2=CC=CC=C2,CC(C(C)(C)C(C1=CC=CC=C1)(C)C)C2=CC=CC=C2.CCO,1.013505594781633
13,10.1016/j.memsci.2018.12.077,2019.0,Journal of Membrane Science,DM300,300.0,EtOH,Ethanol,0.99,CCO,25.0,CF,CC(C1=CC=CC=C1)CC(C2=CC=CC=C2)CC(C3=CC=CC=C3)CC(C4=CC=CC=C4)CC(C5=CC=CC=C5)CC(C6=CC=CC=C6)CC(C7=CC=CC=C7)CC(CC(C(C)(C)C(C8=CC=CC=C8)(C)C)C9=CC=CC=C9)C%10=CC=CC=C%10,CC(C1=CC=CC=C1)CC(C2=CC=CC=C2)CC(C3=CC=CC=C3)CC(C4=CC=CC=C4)CC(C5=CC=CC=C5)CC(C6=CC=CC=C6)CC(C7=CC=CC=C7)CC(CC(C(C)(C)C(C8=CC=CC=C8)(C)C)C9=CC=CC=C9)C%10=CC=CC=C%10.CCO,0.9361875395584078
14,10.1016/j.memsci.2018.12.077,2019.0,Journal of Membrane Science,DM300,300.0,EtOH,Ethanol,0.99,CCO,25.0,CF,CC(C1=CC=CC=C1)CC(C2=CC=CC=C2)CC(C3=CC=CC=C3)CC(C4=CC=CC=C4)CC(C5=CC=CC=C5)CC(C6=CC=CC=C6)CC(CC(C(C)(C)C(C7=CC=CC=C7)(C)C)C8=CC=CC=C8)C9=CC=CC=C9,CC(C1=CC=CC=C1)CC(C2=CC=CC=C2)CC(C3=CC=CC=C3)CC(C4=CC=CC=C4)CC(C5=CC=CC=C5)CC(C6=CC=CC=C6)CC(CC(C(C)(C)C(C7=CC=CC=C7)(C)C)C8=CC=CC=C8)C9=CC=CC=C9.CCO,0.9393851155434184
15,10.1021/op400037h,2013.0,OPRD,DM300,300.0,THF,Tetrahydrofuran,0.9,C1CCCO1,20.0,DE,COC1=CC2=C(C=CN=C2C=C1)C(C3CC4CCN3CC4C=C)O,COC1=CC2=C(C=CN=C2C=C1)C(C3CC4CCN3CC4C=C)O.C1CCCO1,0.8505129769860635
16,10.1016/j.memsci.2018.12.077,2019.0,Journal of Membrane Science,DM300,300.0,EtOH,Ethanol,0.94,CCO,25.0,CF,CC(CC(C(C)(C)C(C1=CC=CC=C1)(C)C)C2=CC=CC=C2)C3=CC=CC=C3,CC(CC(C(C)(C)C(C1=CC=CC=C1)(C)C)C2=CC=CC=C2)C3=CC=CC=C3.CCO,0.9882119592850026
17,10.1039/c2gc36407g,2013.0,Green Chem,DM300,300.0,THF,Tetrahydrofuran,1.0,C1CCCO1,20.0,CF,[H][C@@]1([C@@H](C2=CC=NC3=CC=C(C=C23)O)OCC4=CC(CO[C@H](C5=CC=NC6=CC=C(C=C56)O)[C@@]7(C[C@@H]8CC[N@]7C[C@@H]8C=C)[H])=CC(CO[C@H](C9=CC=NC%10=CC=C(C=C9%10)O)[C@@]%11(C[C@@H]%12CC[N@]%11C[C@@H]%12C=C)[H])=C4)C[C@@H]%13CC[N@]1C[C@@H]%13C=C,[H][C@@]1([C@@H](C2=CC=NC3=CC=C(C=C23)O)OCC4=CC(CO[C@H](C5=CC=NC6=CC=C(C=C56)O)[C@@]7(C[C@@H]8CC[N@]7C[C@@H]8C=C)[H])=CC(CO[C@H](C9=CC=NC%10=CC=C(C=C9%10)O)[C@@]%11(C[C@@H]%12CC[N@]%11C[C@@H]%12C=C)[H])=C4)C[C@@H]%13CC[N@]1C[C@@H]%13C=C.C1CCCO1,0.955727825327866
18,10.1016/j.memsci.2018.12.077,2019.0,Journal of Membrane Science,DM300,300.0,EtOH,Ethanol,0.97,CCO,25.0,CF,CC(C(C)(C)C(C1=CC=CC=C1)(C)C)C2=CC=CC=C2,CC(C(C)(C)C(C1=CC=CC=C1)(C)C)C2=CC=CC=C2.CCO,1.013505594781633
19,10.1016/j.memsci.2018.12.077,2019.0,Journal of Membrane Science,DM300,300.0,EtOH,Ethanol,0.98,CCO,25.0,CF,CC(C1=CC=CC=C1)CC(C2=CC=CC=C2)CC(C3=CC=CC=C3)CC(C4=CC=CC=C4)CC(C5=CC=CC=C5)CC(C6=CC=CC=C6)CC(CC(C(C)(C)C(C7=CC=CC=C7)(C)C)C8=CC=CC=C8)C9=CC=CC=C9,CC(C1=CC=CC=C1)CC(C2=CC=CC=C2)CC(C3=CC=CC=C3)CC(C4=CC=CC=C4)CC(C5=CC=CC=C5)CC(C6=CC=CC=C6)CC(CC(C(C)(C)C(C7=CC=CC=C7)(C)C)C8=CC=CC=C8)C9=CC=CC=C9.CCO,0.9393851155434184
20,10.1016/j.memsci.2018.12.077,2019.0,Journal of Membrane Science,DM300,300.0,EtOH,Ethanol,0.95,CCO,25.0,CF,CC(CC(C(C)(C)C(C1=CC=CC=C1)(C)C)C2=CC=CC=C2)C3=CC=CC=C3,CC(CC(C(C)(C)C(C1=CC=CC=C1)(C)C)C2=CC=CC=C2)C3=CC=CC=C3.CCO,0.9882119592850026
21,10.1016/j.memsci.2018.12.077,2019.0,Journal of Membrane Science,DM300,300.0,EtOH,Ethanol,0.98,CCO,25.0,CF,CC(C1=CC=CC=C1)CC(C2=CC=CC=C2)CC(C3=CC=CC=C3)CC(C4=CC=CC=C4)CC(C5=CC=CC=C5)CC(CC(C(C)(C)C(C6=CC=CC=C6)(C)C)C7=CC=CC=C7)C8=CC=CC=C8,CC(C1=CC=CC=C1)CC(C2=CC=CC=C2)CC(C3=CC=CC=C3)CC(C4=CC=CC=C4)CC(C5=CC=CC=C5)CC(CC(C(C)(C)C(C6=CC=CC=C6)(C)C)C7=CC=CC=C7)C8=CC=CC=C8.CCO,0.9432493672217768
22,10.1016/j.jfoodeng.2010.07.020,2011.0,Journal of Food Engineering,DM300,300.0,EtOAc,Ethyl acetate,0.92,CC(OCC)=O,30.0,CF,CC(CCC=C(C)C)C1CCC2(C1(CCC34C2CCC5C3(C4)CCC(C5(C)C)OC(=O)C=CC6=CC(=C(C=C6)O)OC)C)C,CC(CCC=C(C)C)C1CCC2(C1(CCC34C2CCC5C3(C4)CCC(C5(C)C)OC(=O)C=CC6=CC(=C(C=C6)O)OC)C)C.CC(OCC)=O,0.9544802645310928
23,10.1016/j.cherd.2010.07.002,2011.0,chemical engineering research and design,DM300,300.0,EtOH,Ethanol,0.91,CCO,25.0,CF,C1=CC(=C(C=C1/C=C/C(=O)O)O)O,C1=CC(=C(C=C1/C=C/C(=O)O)O)O.CCO,0.8769184710503612
24,10.1016/j.memsci.2018.12.077,2019.0,Journal of Membrane Science,DM300,300.0,EtOH,Ethanol,0.94,CCO,25.0,CF,CC(C1=CC=CC=C1)CC(CC(C(C)(C)C(C2=CC=CC=C2)(C)C)C3=CC=CC=C3)C4=CC=CC=C4,CC(C1=CC=CC=C1)CC(CC(C(C)(C)C(C2=CC=CC=C2)(C)C)C3=CC=CC=C3)C4=CC=CC=C4.CCO,0.9726311915516276
25,10.1016/j.memsci.2018.12.077,2019.0,Journal of Membrane Science,DM300,300.0,EtOH,Ethanol,0.98,CCO,25.0,CF,CC(C1=CC=CC=C1)CC(C2=CC=CC=C2)CC(C3=CC=CC=C3)CC(C4=CC=CC=C4)CC(CC(C(C)(C)C(C5=CC=CC=C5)(C)C)C6=CC=CC=C6)C7=CC=CC=C7,CC(C1=CC=CC=C1)CC(C2=CC=CC=C2)CC(C3=CC=CC=C3)CC(C4=CC=CC=C4)CC(CC(C(C)(C)C(C5=CC=CC=C5)(C)C)C6=CC=CC=C6)C7=CC=CC=C7.CCO,0.9480725624466364
26,10.1016/j.jfoodeng.2010.07.020,2011.0,Journal of Food Engineering,DM300,300.0,EtOAc,Ethyl acetate,0.7,CC(OCC)=O,30.0,CF,OC(CCCCCCC/C=C/CCCCCCCC)=O,OC(CCCCCCC/C=C/CCCCCCCC)=O.CC(OCC)=O,0.6681704586172391
27,10.1016/j.memsci.2018.12.077,2019.0,Journal of Membrane Science,DM300,300.0,EtOH,Ethanol,0.96,CCO,25.0,CF,CC(CC(C(C)(C)C(C1=CC=CC=C1)(C)C)C2=CC=CC=C2)C3=CC=CC=C3,CC(CC(C(C)(C)C(C1=CC=CC=C1)(C)C)C2=CC=CC=C2)C3=CC=CC=C3.CCO,0.9882119592850026
28,10.1016/j.memsci.2018.12.077,2019.0,Journal of Membrane Science,DM300,300.0,EtOH,Ethanol,0.97,CCO,25.0,CF,CC(C1=CC=CC=C1)CC(C2=CC=CC=C2)CC(C3=CC=CC=C3)CC(C4=CC=CC=C4)CC(C5=CC=CC=C5)CC(CC(C(C)(C)C(C6=CC=CC=C6)(C)C)C7=CC=CC=C7)C8=CC=CC=C8,CC(C1=CC=CC=C1)CC(C2=CC=CC=C2)CC(C3=CC=CC=C3)CC(C4=CC=CC=C4)CC(C5=CC=CC=C5)CC(CC(C(C)(C)C(C6=CC=CC=C6)(C)C)C7=CC=CC=C7)C8=CC=CC=C8.CCO,0.9432493672217768
29,10.1016/j.memsci.2018.12.077,2019.0,Journal of Membrane Science,DM300,300.0,EtOH,Ethanol,0.95,CCO,25.0,CF,CC(C1=CC=CC=C1)CC(CC(C(C)(C)C(C2=CC=CC=C2)(C)C)C3=CC=CC=C3)C4=CC=CC=C4,CC(C1=CC=CC=C1)CC(CC(C(C)(C)C(C2=CC=CC=C2)(C)C)C3=CC=CC=C3)C4=CC=CC=C4.CCO,0.9726311915516276
30,10.1016/j.memsci.2018.12.077,2019.0,Journal of Membrane Science,DM300,300.0,EtOH,Ethanol,0.94,CCO,25.0,CF,CC(C1=CC=CC=C1)CC(C2=CC=CC=C2)CC(CC(C(C)(C)C(C3=CC=CC=C3)(C)C)C4=CC=CC=C4)C5=CC=CC=C5,CC(C1=CC=CC=C1)CC(C2=CC=CC=C2)CC(CC(C(C)(C)C(C3=CC=CC=C3)(C)C)C4=CC=CC=C4)C5=CC=CC=C5.CCO,0.9620355138996366
31,10.1016/j.memsci.2018.12.077,2019.0,Journal of Membrane Science,DM300,300.0,EtOH,Ethanol,0.97,CCO,25.0,CF,CC(C1=CC=CC=C1)CC(C2=CC=CC=C2)CC(C3=CC=CC=C3)CC(C4=CC=CC=C4)CC(CC(C(C)(C)C(C5=CC=CC=C5)(C)C)C6=CC=CC=C6)C7=CC=CC=C7,CC(C1=CC=CC=C1)CC(C2=CC=CC=C2)CC(C3=CC=CC=C3)CC(C4=CC=CC=C4)CC(CC(C(C)(C)C(C5=CC=CC=C5)(C)C)C6=CC=CC=C6)C7=CC=CC=C7.CCO,0.9480725624466364
32,10.1016/j.memsci.2018.12.077,2019.0,Journal of Membrane Science,DM300,300.0,EtOH,Ethanol,0.97,CCO,25.0,CF,CC(C1=CC=CC=C1)CC(C2=CC=CC=C2)CC(C3=CC=CC=C3)CC(C4=CC=CC=C4)CC(CC(C(C)(C)C(C5=CC=CC=C5)(C)C)C6=CC=CC=C6)C7=CC=CC=C7,CC(C1=CC=CC=C1)CC(C2=CC=CC=C2)CC(C3=CC=CC=C3)CC(C4=CC=CC=C4)CC(CC(C(C)(C)C(C5=CC=CC=C5)(C)C)C6=CC=CC=C6)C7=CC=CC=C7.CCO,0.9480725624466364
33,10.1016/j.memsci.2018.12.077,2019.0,Journal of Membrane Science,DM300,300.0,EtOH,Ethanol,0.96,CCO,25.0,CF,CC(C1=CC=CC=C1)CC(C2=CC=CC=C2)CC(C3=CC=CC=C3)CC(C4=CC=CC=C4)CC(C5=CC=CC=C5)CC(CC(C(C)(C)C(C6=CC=CC=C6)(C)C)C7=CC=CC=C7)C8=CC=CC=C8,CC(C1=CC=CC=C1)CC(C2=CC=CC=C2)CC(C3=CC=CC=C3)CC(C4=CC=CC=C4)CC(C5=CC=CC=C5)CC(CC(C(C)(C)C(C6=CC=CC=C6)(C)C)C7=CC=CC=C7)C8=CC=CC=C8.CCO,0.9432493672217768
34,10.1016/j.jfoodeng.2010.07.020,2011.0,Journal of Food Engineering,DM300,300.0,EtOAc,Ethyl acetate,0.97,CC(OCC)=O,30.0,CF,CC(CCC=C(C)C)C1CCC2(C1(CCC34C2CCC5C3(C4)CCC(C5(C)C)OC(=O)C=CC6=CC(=C(C=C6)O)OC)C)C,CC(CCC=C(C)C)C1CCC2(C1(CCC34C2CCC5C3(C4)CCC(C5(C)C)OC(=O)C=CC6=CC(=C(C=C6)O)OC)C)C.CC(OCC)=O,0.9544802645310928
35,10.1016/j.cherd.2010.07.002,2011.0,chemical engineering research and design,DM300,300.0,EtOH,Ethanol,0.94,CCO,25.0,CF,C1=CC(=C(C=C1CC(C(=O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)O)O,C1=CC(=C(C=C1CC(C(=O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)O)O.CCO,0.9531978016298426
36,10.1016/j.memsci.2018.12.077,2019.0,Journal of Membrane Science,DM300,300.0,EtOH,Ethanol,0.96,CCO,25.0,CF,CC(C1=CC=CC=C1)CC(CC(C(C)(C)C(C2=CC=CC=C2)(C)C)C3=CC=CC=C3)C4=CC=CC=C4,CC(C1=CC=CC=C1)CC(CC(C(C)(C)C(C2=CC=CC=C2)(C)C)C3=CC=CC=C3)C4=CC=CC=C4.CCO,0.9726311915516276
37,10.1016/j.memsci.2018.12.077,2019.0,Journal of Membrane Science,DM300,300.0,EtOH,Ethanol,0.95,CCO,25.0,CF,CC(C1=CC=CC=C1)CC(C2=CC=CC=C2)CC(CC(C(C)(C)C(C3=CC=CC=C3)(C)C)C4=CC=CC=C4)C5=CC=CC=C5,CC(C1=CC=CC=C1)CC(C2=CC=CC=C2)CC(CC(C(C)(C)C(C3=CC=CC=C3)(C)C)C4=CC=CC=C4)C5=CC=CC=C5.CCO,0.9620355138996366
38,10.1016/j.memsci.2018.12.077,2019.0,Journal of Membrane Science,DM300,300.0,EtOH,Ethanol,0.96,CCO,25.0,CF,CC(C1=CC=CC=C1)CC(C2=CC=CC=C2)CC(C3=CC=CC=C3)CC(CC(C(C)(C)C(C4=CC=CC=C4)(C)C)C5=CC=CC=C5)C6=CC=CC=C6,CC(C1=CC=CC=C1)CC(C2=CC=CC=C2)CC(C3=CC=CC=C3)CC(CC(C(C)(C)C(C4=CC=CC=C4)(C)C)C5=CC=CC=C5)C6=CC=CC=C6.CCO,0.954179083901155
39,10.1016/j.memsci.2018.12.077,2019.0,Journal of Membrane Science,DM300,300.0,EtOH,Ethanol,0.95,CCO,25.0,CF,CC(C1=CC=CC=C1)CC(C2=CC=CC=C2)CC(C3=CC=CC=C3)CC(CC(C(C)(C)C(C4=CC=CC=C4)(C)C)C5=CC=CC=C5)C6=CC=CC=C6,CC(C1=CC=CC=C1)CC(C2=CC=CC=C2)CC(C3=CC=CC=C3)CC(CC(C(C)(C)C(C4=CC=CC=C4)(C)C)C5=CC=CC=C5)C6=CC=CC=C6.CCO,0.954179083901155
40,10.1016/j.cherd.2010.07.002,2011.0,chemical engineering research and design,DM300,300.0,EtOH,Ethanol,0.95,CCO,25.0,CF,C1=CC(=C(C=C1CC(C(=O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)O)O,C1=CC(=C(C=C1CC(C(=O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)O)O.CCO,0.9531978016298426
41,10.1016/j.cherd.2010.07.002,2011.0,chemical engineering research and design,DM300,300.0,EtOH,Ethanol,0.88,CCO,25.0,CF,C1=CC(=C(C=C1/C=C/C(=O)O)O)O,C1=CC(=C(C=C1/C=C/C(=O)O)O)O.CCO,0.8769184710503612
42,10.1016/j.memsci.2018.12.077,2019.0,Journal of Membrane Science,DM300,300.0,EtOH,Ethanol,0.96,CCO,25.0,CF,CC(C1=CC=CC=C1)CC(C2=CC=CC=C2)CC(CC(C(C)(C)C(C3=CC=CC=C3)(C)C)C4=CC=CC=C4)C5=CC=CC=C5,CC(C1=CC=CC=C1)CC(C2=CC=CC=C2)CC(CC(C(C)(C)C(C3=CC=CC=C3)(C)C)C4=CC=CC=C4)C5=CC=CC=C5.CCO,0.9620355138996366
43,10.1002/cctc.201500902,2016.0,ChemCatChem,DM300,300.0,EtOH,Ethanol,0.99,CCO,23.0,CF,[H][C@@]1([C@@H](C2=CC=NC3=CC=C(C=C23)O)OC(C45CC6CC(C5)CC(C6)C4)=O)C[C@@H]7CC[N@]1C[C@@H]7C=C,[H][C@@]1([C@@H](C2=CC=NC3=CC=C(C=C23)O)OC(C45CC6CC(C5)CC(C6)C4)=O)C[C@@H]7CC[N@]1C[C@@H]7C=C.CCO,0.9908673264271798
44,10.1016/j.seppur.2021.118492,2021.0,Separation and Purification Technology,DM300,300.0,,Ethanol,0.4419,CCO,25.0,CF,OC1=CC=CC=C1C(N)=O,OC1=CC=CC=C1C(N)=O.CCO,
45,10.1016/j.seppur.2021.118492,2021.0,Separation and Purification Technology,DM300,300.0,,Ethanol,0.7476,CCO,25.0,CF,O=C(C)NC1=CC=C(O)C=C1,O=C(C)NC1=CC=C(O)C=C1.CCO,
46,10.1016/j.seppur.2021.118492,2021.0,Separation and Purification Technology,DM300,300.0,,Ethanol,0.8542,CCO,25.0,CF,O=C(O)C1=CC=CC=C1OC(C)=O,O=C(O)C1=CC=CC=C1OC(C)=O.CCO,
47,10.1016/j.seppur.2021.118492,2021.0,Separation and Purification Technology,DM300,300.0,,Ethanol,0.9236,CCO,25.0,CF,N[C@@H](C)C(OC1=CC=CC=C1)=O,N[C@@H](C)C(OC1=CC=CC=C1)=O.CCO,
48,10.1016/j.seppur.2021.118492,2021.0,Separation and Purification Technology,DM300,300.0,,Ethanol,0.9129,CCO,25.0,CF,N[C@@H](CC1=CNC2=C1C=CC=C2)C(O)=O,N[C@@H](CC1=CNC2=C1C=CC=C2)C(O)=O.CCO,
49,10.1016/j.seppur.2021.118492,2021.0,Separation and Purification Technology,DM300,300.0,,Ethanol,0.8937,CCO,25.0,CF,C=C(CC(C)(C)C1=CC=CC=C1)C2=CC=CC=C2,C=C(CC(C)(C)C1=CC=CC=C1)C2=CC=CC=C2.CCO,
50,10.1016/j.seppur.2021.118492,2021.0,Separation and Purification Technology,DM300,300.0,,Ethanol,0.8419,CCO,25.0,CF,CC(C(OC)=O)(C)CC(C)(C(OC)=O)CC(OC)=O,CC(C(OC)=O)(C)CC(C)(C(OC)=O)CC(OC)=O.CCO,
51,10.1016/j.seppur.2021.118492,2021.0,Separation and Purification Technology,DM300,300.0,,Ethanol,0.5208,CCO,25.0,CF,CCCCCCCCCC,CCCCCCCCCC.CCO,
52,10.1016/j.seppur.2021.118492,2021.0,Separation and Purification Technology,DM300,300.0,,Ethanol,0.5678,CCO,25.0,CF,CCCCCCCCCCCC,CCCCCCCCCCCC.CCO,
53,10.1016/j.seppur.2021.118492,2021.0,Separation and Purification Technology,DM300,300.0,,Ethanol,0.6048,CCO,25.0,CF,CCCCCCCCCCCCCC,CCCCCCCCCCCCCC.CCO,
54,10.1016/j.seppur.2021.118492,2021.0,Separation and Purification Technology,DM300,300.0,,Ethanol,0.6328,CCO,25.0,CF,CCCCCCCCCCCCCCCC,CCCCCCCCCCCCCCCC.CCO,
55,10.1016/j.seppur.2021.118492,2021.0,Separation and Purification Technology,DM300,300.0,,Ethanol,0.6837,CCO,25.0,CF,CCCCCCCCCCCCCCCCCC,CCCCCCCCCCCCCCCCCC.CCO,
56,10.1016/j.seppur.2021.118492,2021.0,Separation and Purification Technology,DM300,300.0,,Ethanol,0.8484,CCO,25.0,CF,O=C1CNC(C(C(C)C)N1)=O,O=C1CNC(C(C(C)C)N1)=O.CCO,
57,10.1016/j.seppur.2021.118492,2021.0,Separation and Purification Technology,DM300,300.0,,Ethanol,0.834,CCO,25.0,CF,O=C1C(C)NC(C(C)N1)=O,O=C1C(C)NC(C(C)N1)=O.CCO,
58,10.1016/j.seppur.2021.118492,2021.0,Separation and Purification Technology,DM300,300.0,,Ethanol,0.6076,CCO,25.0,CF,O=C1CNC(CN1)=O,O=C1CNC(CN1)=O.CCO,
59,10.1016/j.seppur.2021.118492,2021.0,Separation and Purification Technology,DM300,300.0,,2-Propanol,0.18,CC(O)C,25.0,CF,OC1=CC=CC=C1C(N)=O,OC1=CC=CC=C1C(N)=O.CC(O)C,
60,10.1016/j.seppur.2021.118492,2021.0,Separation and Purification Technology,DM300,300.0,,2-Propanol,0.59,CC(O)C,25.0,CF,O=C(C)NC1=CC=C(O)C=C1,O=C(C)NC1=CC=C(O)C=C1.CC(O)C,
61,10.1016/j.seppur.2021.118492,2021.0,Separation and Purification Technology,DM300,300.0,,2-Propanol,0.79,CC(O)C,25.0,CF,O=C(O)C1=CC=CC=C1OC(C)=O,O=C(O)C1=CC=CC=C1OC(C)=O.CC(O)C,
62,10.1016/j.seppur.2021.118492,2021.0,Separation and Purification Technology,DM300,300.0,,2-Propanol,0.9,CC(O)C,25.0,CF,N[C@@H](C)C(OC1=CC=CC=C1)=O,N[C@@H](C)C(OC1=CC=CC=C1)=O.CC(O)C,
63,10.1016/j.seppur.2021.118492,2021.0,Separation and Purification Technology,DM300,300.0,,2-Propanol,0.79,CC(O)C,25.0,CF,N[C@@H](CC1=CNC2=C1C=CC=C2)C(O)=O,N[C@@H](CC1=CNC2=C1C=CC=C2)C(O)=O.CC(O)C,
64,10.1016/j.seppur.2021.118492,2021.0,Separation and Purification Technology,DM300,300.0,,2-Propanol,0.85,CC(O)C,25.0,CF,C=C(CC(C)(C)C1=CC=CC=C1)C2=CC=CC=C2,C=C(CC(C)(C)C1=CC=CC=C1)C2=CC=CC=C2.CC(O)C,
